N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+648,-0.07986051,1,-0.03993026,-37.91507171,3.211145e-05,17.296,16.649,16.649,0
2mer-0+672,0.00504898,2,0.00504898,-37.91002273,3.209686e-05,18.01,16.651,16.651,0
2mer-0+676,-0.06176326,1,-0.03088163,-37.94090436,3.205003e-05,17.48,16.659,16.659,0
2mer-0+588,0.05461585,2,0.05461585,-37.88628851,3.176454e-05,16.774,16.709,16.709,0
2mer-0+599,-0.03051511,4,-0.06103021,-37.94731872,3.152272e-05,17.681,16.752,16.752,0
2mer-0+642,-0.08781228,2,-0.08781228,-38.03513101,3.120104e-05,17.285,16.809,16.809,0
2mer-0+629,-0.01748244,2,-0.01748244,-38.05261345,3.056286e-05,17.125,16.925,16.925,0
2mer-0+586,0.00686089,4,0.01372177,-38.03889168,3.045756e-05,17.54,16.945,16.945,0
2mer-0+628,0.02492845,2,0.02492845,-38.01396322,3.035115e-05,18.23,16.965,16.965,0
2mer-0+664,-0.01807529,4,-0.03615058,-38.0501138,3.030614e-05,18.209,16.973,16.973,0
2mer-0+703,0.04084724,2,0.04084724,-38.00926656,3.027014e-05,17.875,16.98,16.98,0
2mer-0+654,-0.0441433,2,-0.0441433,-38.05340986,3.026357e-05,17.846,16.981,16.981,0
2mer-0+618,-0.00797312,2,-0.00797312,-38.06138298,3.019697e-05,18.241,16.993,16.993,0
2mer-0+683,0.04231862,4,0.08463723,-37.97674574,3.013608e-05,18.569,17.005,17.005,0
2mer-0+619,-0.07447851,4,-0.14895703,-38.12570277,3.006778e-05,17.661,17.018,17.018,0
2mer-0+717,-0.03902639,2,-0.03902639,-38.16472916,2.993797e-05,17.857,17.042,17.042,0
2mer-0+604,0.01635377,2,0.01635377,-38.14837539,2.990433e-05,17.888,17.049,17.049,0
2mer-0+644,0.00996525,2,0.00996525,-38.13841014,2.990193e-05,17.285,17.049,17.049,0
2mer-0+638,-0.00245682,4,-0.00491364,-38.14332378,2.986933e-05,17.311,17.055,17.055,0
2mer-0+620,0.02224853,4,0.04449706,-38.09882672,2.979099e-05,17.661,17.07,17.07,0
2mer-0+656,-0.03919377,2,-0.03919377,-38.13802049,2.960781e-05,17.918,17.105,17.105,0
2mer-0+651,0.03604802,2,0.03604802,-38.10197247,2.949761e-05,18.598,17.127,17.127,0
2mer-0+686,0.02188287,2,0.02188287,-38.08008961,2.905444e-05,18.762,17.213,17.213,0
2mer-0+667,-0.0368605,2,-0.0368605,-38.1169501,2.902061e-05,18.07,17.22,17.22,0
2mer-0+690,-0.04565709,2,-0.04565709,-38.16260719,2.88691e-05,17.906,17.25,17.25,0
2mer-0+740,0.00483397,2,0.00483397,-38.15777323,2.881763e-05,18.054,17.26,17.26,0
2mer-0+721,-0.02839449,2,-0.02839449,-38.18616772,2.881754e-05,18.064,17.26,17.26,0
2mer-0+709,-0.02689925,2,-0.02689925,-38.21306697,2.881754e-05,18.044,17.26,17.26,0
2mer-0+630,-0.01037953,4,-0.02075905,-38.23382603,2.834572e-05,18.1,17.356,17.356,0
